PolicyId,Year,Month,PrevMonth,MeanTimeBetween,TimingProb,TargetMean,Efm,EfmI,EfmD,EstimatedPayout,ActualPayout,PercentError
10,2016,December,November,4.0,0.0,2375.88,0.0,0.0,0.0,0.0,0.0,0.0
15,2016,December,September,3.5,1.0555555555555556,128.5633333333333,1.0,0.0,0.0,0.0,0.0,0.0
76,2016,December,December,1.375,1.1774193548387095,137.6377777777778,1.0,0.0,0.0,0.0,0.0,0.0
97,2016,December,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2016,December,December,1.4285714285714286,1.4166666666666667,9.9625,0.6278561011181332,0.0,0.0,5.25,41.14,-87.23869713174525
141,2016,December,December,5.0,1.1388888888888888,35.71,0.0,0.0,0.0,40.67,0.0,100.0
198,2016,December,April,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2016,December,July,3.0,0.0,36.535,0.0,0.0,0.0,0.0,0.0,0.0
257,2016,December,September,4.0,0.0,79.91999999999999,0.0,0.0,0.0,0.0,0.0,0.0
264,2016,December,September,2.3333333333333335,0.9285714285714286,82.0675,1.0,0.0,0.0,0.0,0.0,0.0
346,2016,December,June,4.0,0.0,29.07,0.0,0.0,0.0,0.0,0.0,0.0
419,2016,December,June,0.0,0.0,221.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0
483,2016,December,June,1.6666666666666667,0.18750000000000006,165.51749999999998,0.0,0.0,0.0,31.03,0.0,100.0
496,2016,December,October,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,2016,December,October,0.0,0.0,272.14,0.0,0.0,0.0,0.0,0.0,0.0
585,2016,December,December,3.3333333333333335,1.1923076923076923,321.2475,1.0,0.0,0.0,0.0,0.0,0.0
591,2016,December,December,0.0,0.0,177.47,0.0,0.0,0.0,0.0,177.47,-100.0
617,2016,December,December,2.0,0.0,69.69333333333333,1.0,0.0,0.0,0.0,0.0,0.0
628,2016,December,December,0.0,0.0,113.98,0.0,0.0,0.0,0.0,113.98,-100.0
659,2016,December,November,5.0,0.0,181.625,0.0,0.0,0.0,0.0,0.0,0.0
705,2016,December,October,2.6666666666666665,1.125,74.6475,0.33980917346821465,0.0,0.0,55.44,0.0,100.0
743,2016,December,November,2.5,1.75,47.13,0.0,0.0,0.0,82.48,0.0,100.0
753,2016,December,March,1.0,0.0,64.93,1.0,0.0,0.0,0.0,0.0,0.0
755,2016,December,March,2.0,0.0,40.67,0.0,0.0,0.0,0.0,0.0,0.0
758,2016,December,December,2.25,1.4090909090909092,108.008,0.21536392168584664,0.0,0.0,119.42,68.57,74.15779495406156
859,2016,December,November,1.6666666666666667,1.1,97.53571428571429,0.12756329242936928,0.0,0.0,93.6,0.0,100.0
877,2016,December,May,1.0,0.0,282.18,0.0,0.0,0.0,0.0,0.0,0.0
883,2016,December,May,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,2016,December,May,0.0,0.0,886.29,0.0,0.0,0.0,0.0,0.0,0.0
958,2016,December,May,2.0,0.0,209.875,0.0,0.0,0.0,0.0,0.0,0.0
961,2016,December,December,1.5714285714285714,1.4583333333333335,34.991249999999994,0.29743034360539533,0.0,0.0,35.85,101.57,-64.70414492468248
1011,2016,December,October,0.0,0.0,400.71,0.0,0.0,0.0,0.0,0.0,0.0
1081,2016,December,November,2.0,1.0833333333333333,73.568,0.0,0.0,0.0,79.7,0.0,100.0
1086,2016,December,July,6.0,0.0,74.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1111,2016,December,August,1.0,0.0,57.965,1.0,0.0,0.0,0.0,0.0,0.0
1149,2016,December,October,2.0,1.0,35.516666666666666,0.0,0.0,0.0,35.52,0.0,100.0
1208,2016,December,October,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,2016,December,March,2.0,0.0,949.49,0.0,0.0,0.0,0.0,0.0,0.0
1322,2016,December,March,0.0,0.0,1703.51,0.0,0.0,0.0,0.0,0.0,0.0
1324,2016,December,November,8.0,0.0,157.55,1.0,0.0,0.0,0.0,0.0,0.0
1348,2016,December,July,3.0,0.5000000000000001,25.95,0.0,0.0,0.0,12.98,0.0,100.0
1362,2016,December,July,0.0,0.0,98.81,0.0,0.0,0.0,0.0,0.0,0.0
1372,2016,December,December,4.0,1.25,279.63666666666666,1.0,0.0,0.0,0.0,139.74,-100.0
1382,2016,December,May,0.0,0.0,743.37,0.0,0.0,0.0,0.0,0.0,0.0
1394,2016,December,November,8.0,0.0,482.54,1.0,0.0,0.0,0.0,0.0,0.0
1406,2016,December,September,1.75,0.7727272727272727,219.054,0.0,0.0,0.0,169.27,0.0,100.0
