PolicyId,Year,Month,PrevMonth,MeanTimeBetween,TimingProb,TargetMean,Efm,EfmI,EfmD,EstimatedPayout,ActualPayout,PercentError
10,2016,February,January,4.0,0.0,2375.88,-0.015722069070307584,0.0,0.0,0.0,0.0,0.0
15,2016,February,January,3.5,1.277777777777778,128.5633333333333,-1.125197520359791,0.0,0.0,349.12,92.57,277.14162255590367
76,2016,February,February,1.375,1.1774193548387095,137.6377777777778,0.0,0.0,0.0,162.06,231.36,-29.95331950207469
97,2016,February,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2016,February,January,1.4285714285714286,1.125,9.9625,0.0,0.0,0.0,11.21,5.26,113.1178707224335
141,2016,February,January,5.0,1.111111111111111,35.71,0.0,0.0,0.0,39.68,107.13,-62.96088863997012
198,2016,February,January,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2016,February,January,3.0,0.0,36.535,0.0,0.0,0.0,0.0,0.0,0.0
257,2016,February,January,4.0,0.0,79.91999999999999,-0.20376893272278973,0.0,0.0,0.0,0.0,0.0
264,2016,February,January,2.3333333333333335,1.1428571428571428,82.0675,0.0,0.0,0.0,93.79,88.17,6.374050130429857
346,2016,February,January,4.0,0.0,29.07,0.0,0.0,0.0,0.0,58.14,-100.0
419,2016,February,June,0.0,0.0,221.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0
483,2016,February,February,1.6666666666666667,1.3125,165.51749999999998,0.0,0.0,0.0,217.24,146.43,48.357576999248785
496,2016,February,January,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,2016,February,October,0.0,0.0,272.14,0.0,0.0,0.0,0.0,0.0,0.0
585,2016,February,January,3.3333333333333335,1.1346153846153846,321.2475,0.0,0.0,0.0,364.49,302.14,20.63612894684584
591,2016,February,December,0.0,0.0,177.47,0.0,0.0,0.0,0.0,0.0,0.0
617,2016,February,January,2.0,0.0,69.69333333333333,0.0,0.0,0.0,0.0,0.0,0.0
628,2016,February,December,0.0,0.0,113.98,0.0,0.0,0.0,0.0,0.0,0.0
659,2016,February,January,5.0,0.0,181.625,-0.3170632956948132,0.0,0.0,0.0,0.0,0.0
705,2016,February,January,2.6666666666666665,1.3124999999999998,74.6475,-0.5231635820209218,0.0,0.0,149.23,132.5,12.626415094339617
743,2016,February,January,2.5,1.75,47.13,0.0,0.0,0.0,82.48,0.0,100.0
753,2016,February,January,1.0,0.0,64.93,0.0,0.0,0.0,0.0,0.0,0.0
755,2016,February,January,2.0,0.0,40.67,0.0,0.0,0.0,0.0,0.0,0.0
758,2016,February,January,2.25,1.2272727272727273,108.008,-0.04083843969511284,0.0,0.0,137.97,0.0,100.0
859,2016,February,January,1.6666666666666667,1.1,97.53571428571429,-0.1101145582779567,0.0,0.0,119.1,0.0,100.0
877,2016,February,January,1.0,0.0,282.18,-0.10372272143774071,0.0,0.0,0.0,0.0,0.0
883,2016,February,January,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,2016,February,May,0.0,0.0,886.29,0.0,0.0,0.0,0.0,0.0,0.0
958,2016,February,January,2.0,0.0,209.875,0.0,0.0,0.0,0.0,0.0,0.0
961,2016,February,January,1.5714285714285714,1.1666666666666667,34.991249999999994,0.0,0.0,0.0,40.82,0.0,100.0
1011,2016,February,October,0.0,0.0,400.71,0.0,0.0,0.0,0.0,0.0,0.0
1081,2016,February,January,2.0,1.0833333333333333,73.568,-0.12735229759299782,0.0,0.0,89.85,0.0,100.0
1086,2016,February,January,6.0,0.0,74.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1111,2016,February,January,1.0,0.0,57.965,0.0,0.0,0.0,0.0,0.0,0.0
1149,2016,February,January,2.0,1.25,35.516666666666666,0.0,0.0,0.0,44.4,0.0,100.0
1208,2016,February,October,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,2016,February,January,2.0,0.0,949.49,0.0,0.0,0.0,0.0,0.0,0.0
1322,2016,February,March,0.0,0.0,1703.51,0.0,0.0,0.0,0.0,0.0,0.0
1324,2016,February,January,8.0,0.0,157.55,-1.4847568657092465,0.0,0.0,0.0,0.0,0.0
1348,2016,February,January,3.0,1.5,25.95,0.0,0.0,0.0,38.92,0.0,100.0
1362,2016,February,July,0.0,0.0,98.81,0.0,0.0,0.0,0.0,0.0,0.0
1372,2016,February,January,4.0,1.1875,279.63666666666666,-0.30954310724127543,0.0,0.0,434.86,0.0,100.0
1382,2016,February,May,0.0,0.0,743.37,0.0,0.0,0.0,0.0,0.0,0.0
1394,2016,February,January,8.0,0.0,482.54,-0.09389538461538462,0.0,0.0,0.0,0.0,0.0
1406,2016,February,January,1.75,1.1363636363636362,219.054,0.0,0.0,0.0,248.92,102.37,143.15717495359968
1413,2016,February,June,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,2016,February,January,2.0,1.25,166.76000000000002,-1.0258799969190477,0.0,0.0,422.29,0.0,100.0
1430,2016,February,January,2.0,1.0833333333333333,213.68200000000002,-0.030579825258141378,0.0,0.0,238.57,0.0,100.0
1432,2016,February,January,4.5,1.14,793.75,0.0,0.0,0.0,904.87,0.0,100.0
1499,2016,February,December,0.0,0.0,1355.14,0.0,0.0,0.0,0.0,0.0,0.0
1533,2016,February,August,0.0,0.0,161.48,0.0,0.0,0.0,0.0,0.0,0.0
1601,2016,February,January,3.0,0.0,134.39000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1610,2016,February,August,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1618,2016,February,February,1.1,1.6111111111111114,55.970909090909096,-0.7388819432041436,0.0,0.0,156.8,63.03,148.770426780898
1642,2016,February,January,2.0,1.25,3.8066666666666666,0.0,0.0,0.0,4.76,0.0,100.0
1652,2016,February,January,1.0,0.0,1030.1466666666665,-0.5703523954313335,0.0,0.0,0.0,0.0,0.0
1657,2016,February,February,1.5,1.5000000000000002,56.20428571428572,-0.3129837702871411,0.0,0.0,110.69,27.64,300.4703328509406
1660,2016,February,January,1.8,1.0588235294117647,41.64333333333333,-0.10667668325664381,0.0,0.0,48.8,11.36,329.5774647887324
1676,2016,February,September,0.0,0.0,184.81,0.0,0.0,0.0,0.0,0.0,0.0
1745,2016,February,January,3.5,0.0,98.83999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1756,2016,February,January,1.5,1.1666666666666667,222.19142857142856,-0.22169454054164703,0.0,0.0,316.69,0.0,100.0
1785,2016,February,January,4.5,0.0,193.88333333333333,-0.7559462842836008,0.0,0.0,0.0,0.0,0.0
1787,2016,February,October,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1804,2016,February,January,2.0,1.25,223.526,-0.10412371134020618,0.0,0.0,308.5,0.0,100.0
1809,2016,February,January,1.5,1.5,23.453333333333333,0.0,0.0,0.0,35.18,0.0,100.0
1822,2016,February,January,1.0,0.0,1527.7900000000002,-0.009110600153287346,0.0,0.0,0.0,0.0,0.0
1872,2016,February,January,5.5,0.0,131.15333333333334,-0.8346414934238439,0.0,0.0,0.0,0.0,0.0
1938,2016,February,February,3.6666666666666665,1.0982142857142856,577.7825,0.0,0.0,0.0,634.53,1698.6399999999999,-62.644821739744735
1967,2016,February,December,0.0,0.0,115.85,0.0,0.0,0.0,0.0,0.0,0.0
1989,2016,February,June,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0
1990,2016,February,January,4.5,1.14,42.89333333333334,-0.2988130563798219,0.0,0.0,63.51,0.0,100.0
2006,2016,February,February,2.3333333333333335,1.109375,111.03750000000001,0.0,0.0,0.0,123.18,395.6,-68.86248736097068
2008,2016,February,January,1.5,1.5,78.36333333333334,-0.027840612493474855,0.0,0.0,120.82,0.0,100.0
2063,2016,February,July,0.0,0.0,78.58,0.0,0.0,0.0,0.0,0.0,0.0
2071,2016,February,June,0.0,0.0,346.83,0.0,0.0,0.0,0.0,0.0,0.0
2100,2016,February,February,1.2222222222222223,1.392857142857143,178.595,0.0,0.0,0.0,248.76,69.16,259.6876807403123
2149,2016,February,January,11.0,0.0,84.99000000000001,-0.29104616530156363,0.0,0.0,0.0,0.0,0.0
2202,2016,February,January,4.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0
2223,2016,February,January,2.0,0.0,182.425,0.0,0.0,0.0,0.0,0.0,0.0
2298,2016,February,December,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0
2328,2016,February,January,2.3333333333333335,0.0,40.1775,0.0,0.0,0.0,0.0,0.0,0.0
2339,2016,February,January,4.5,0.0,76.88666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2358,2016,February,January,2.0,1.25,73.305,-0.22910674026276917,0.0,0.0,112.62,0.0,100.0
2371,2016,February,January,3.0,0.0,55.845,0.0,0.0,0.0,0.0,0.0,0.0
2391,2016,February,January,1.0,0.0,109.70000000000002,-0.11147495618485381,0.0,0.0,0.0,0.0,0.0
2413,2016,February,January,7.0,0.0,25.96,-1.3595988538681951,0.0,0.0,0.0,0.0,0.0
2450,2016,February,February,1.125,1.6428571428571428,56.41555555555556,-0.05636157704546679,0.0,0.0,97.91,60.82,60.98322920092074
2495,2016,February,January,3.0,0.0,71.45,0.0,0.0,0.0,0.0,0.0,0.0
2516,2016,February,January,8.0,0.0,293.455,-0.3521008159354221,0.0,0.0,0.0,121.26,-100.0
2555,2016,February,January,2.0,1.25,21.98,0.0,0.0,0.0,27.48,0.0,100.0
2603,2016,February,August,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2604,2016,February,January,3.0,0.0,50.91,-0.15792194365469114,0.0,0.0,0.0,89.6,-100.0
2665,2016,February,January,1.6666666666666667,1.5000000000000002,690.15,-0.09858906795759545,0.0,0.0,1137.29,0.0,100.0
2715,2016,February,February,1.375,1.3666666666666667,34.025555555555556,-0.26135202219302084,0.0,0.0,58.65,17.9,227.65363128491623
