PolicyId,Year,Month,PrevMonth,MeanTimeBetween,TimingProb,TargetMean,Efm,EfmI,EfmD,EstimatedPayout,ActualPayout,PercentError
10,2016,November,November,4.0,0.0,2375.88,-0.015722069070307584,0.0,0.0,0.0,72.43,-100.0
15,2016,November,September,3.5,1.1666666666666667,128.5633333333333,1.0,0.0,0.0,0.0,0.0,0.0
76,2016,November,September,1.375,0.9193548387096774,137.6377777777778,1.0,0.0,0.0,0.0,0.0,0.0
97,2016,November,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2016,November,October,1.4285714285714286,1.125,9.9625,0.6278561011181332,0.0,0.0,4.17,0.0,100.0
141,2016,November,October,5.0,1.111111111111111,35.71,0.0,0.0,0.0,39.68,0.0,100.0
198,2016,November,April,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2016,November,July,3.0,0.0,36.535,0.0,0.0,0.0,0.0,0.0,0.0
257,2016,November,September,4.0,0.0,79.91999999999999,0.0,0.0,0.0,0.0,0.0,0.0
264,2016,November,September,2.3333333333333335,1.0357142857142856,82.0675,1.0,0.0,0.0,0.0,0.0,0.0
346,2016,November,June,4.0,0.0,29.07,0.0,0.0,0.0,0.0,0.0,0.0
419,2016,November,June,0.0,0.0,221.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0
483,2016,November,June,1.6666666666666667,0.3750000000000001,165.51749999999998,0.0,0.0,0.0,62.07,0.0,100.0
496,2016,November,October,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,2016,November,October,0.0,0.0,272.14,0.0,0.0,0.0,0.0,0.0,0.0
585,2016,November,August,3.3333333333333335,1.0192307692307692,321.2475,1.0,0.0,0.0,0.0,0.0,0.0
591,2016,November,December,0.0,0.0,177.47,0.0,0.0,0.0,0.0,0.0,0.0
617,2016,November,October,2.0,0.0,69.69333333333333,1.0,0.0,0.0,0.0,0.0,0.0
628,2016,November,December,0.0,0.0,113.98,0.0,0.0,0.0,0.0,0.0,0.0
659,2016,November,November,5.0,0.0,181.625,-0.3170632956948132,0.0,0.0,0.0,70.48,-100.0
705,2016,November,October,2.6666666666666665,1.3124999999999998,74.6475,0.33980917346821465,0.0,0.0,64.68,0.0,100.0
743,2016,November,November,2.5,0.0,47.13,1.0,0.0,0.0,0.0,0.0,0.0
753,2016,November,March,1.0,0.0,64.93,1.0,0.0,0.0,0.0,0.0,0.0
755,2016,November,March,2.0,0.0,40.67,0.0,0.0,0.0,0.0,0.0,0.0
758,2016,November,September,2.25,1.0454545454545454,108.008,0.21536392168584664,0.0,0.0,88.6,0.0,100.0
859,2016,November,November,1.6666666666666667,1.25,97.53571428571429,0.07374943943903134,0.0,0.0,112.93,58.3,93.70497427101203
877,2016,November,May,1.0,0.0,282.18,0.0,0.0,0.0,0.0,0.0,0.0
883,2016,November,May,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,2016,November,May,0.0,0.0,886.29,0.0,0.0,0.0,0.0,0.0,0.0
958,2016,November,May,2.0,0.0,209.875,0.0,0.0,0.0,0.0,0.0,0.0
961,2016,November,November,1.5714285714285714,1.4583333333333335,34.991249999999994,0.6666338485773358,0.0,0.0,17.01,30.21,-43.694141012909625
1011,2016,November,October,0.0,0.0,400.71,0.0,0.0,0.0,0.0,0.0,0.0
1081,2016,November,November,2.0,1.1666666666666667,73.568,1.0,0.0,0.0,0.0,26.19,-100.0
1086,2016,November,July,6.0,0.0,74.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1111,2016,November,August,1.0,0.0,57.965,1.0,0.0,0.0,0.0,0.0,0.0
1149,2016,November,October,2.0,1.25,35.516666666666666,0.0,0.0,0.0,44.4,0.0,100.0
1208,2016,November,October,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,2016,November,March,2.0,0.0,949.49,0.0,0.0,0.0,0.0,0.0,0.0
1322,2016,November,March,0.0,0.0,1703.51,0.0,0.0,0.0,0.0,0.0,0.0
1324,2016,November,November,8.0,0.0,157.55,-1.4847568657092465,0.0,0.0,0.0,197.24,-100.0
1348,2016,November,July,3.0,0.75,25.95,0.0,0.0,0.0,19.46,0.0,100.0
1362,2016,November,July,0.0,0.0,98.81,0.0,0.0,0.0,0.0,0.0,0.0
1372,2016,November,June,4.0,0.9375,279.63666666666666,1.0,0.0,0.0,0.0,0.0,0.0
1382,2016,November,May,0.0,0.0,743.37,0.0,0.0,0.0,0.0,0.0,0.0
1394,2016,November,November,8.0,0.0,482.54,-0.09389538461538462,0.0,0.0,0.0,888.7900000000001,-100.0
1406,2016,November,September,1.75,0.9545454545454546,219.054,0.0,0.0,0.0,209.1,0.0,100.0
1413,2016,November,June,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,2016,November,October,2.0,1.25,166.76000000000002,0.03427559115766762,0.0,0.0,201.31,0.0,100.0
1430,2016,November,November,2.0,1.1666666666666667,213.68200000000002,0.0,0.0,0.0,249.3,70.19,255.17880039891728
1432,2016,November,October,4.5,1.14,793.75,0.17995233116461606,0.0,0.0,742.04,0.0,100.0
1499,2016,November,December,0.0,0.0,1355.14,0.0,0.0,0.0,0.0,0.0,0.0
1533,2016,November,August,0.0,0.0,161.48,0.0,0.0,0.0,0.0,0.0,0.0
1601,2016,November,August,3.0,0.0,134.39000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1610,2016,November,August,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1618,2016,November,November,1.1,1.6111111111111114,55.970909090909096,0.18360421503839972,0.0,0.0,73.62,51.65,42.53630203291386
1642,2016,November,July,2.0,0.5000000000000001,3.8066666666666666,0.0,0.0,0.0,1.9,0.0,100.0
1652,2016,November,September,1.0,0.0,1030.1466666666665,1.0,0.0,0.0,0.0,0.0,0.0
1657,2016,November,October,1.5,1.1666666666666667,56.20428571428572,1.0,0.0,0.0,0.0,0.0,0.0
1660,2016,November,November,1.8,1.1323529411764706,41.64333333333333,0.21335336651328762,0.0,0.0,37.09,63.85,-41.91072826938136
1676,2016,November,September,0.0,0.0,184.81,0.0,0.0,0.0,0.0,0.0,0.0
1745,2016,November,September,3.5,0.0,98.83999999999999,0.04060361466924022,0.0,0.0,0.0,0.0,0.0
1756,2016,November,October,1.5,1.1666666666666667,222.19142857142856,0.06261898425825473,0.0,0.0,242.99,0.0,100.0
