PolicyId,Year,Month,PrevMonth,MeanTimeBetween,TimingProb,TargetMean,Efm,EfmI,EfmD,EstimatedPayout,ActualPayout,PercentError
10,2016,October,July,4.0,0.0,2375.88,-0.015722069070307584,0.0,0.0,0.0,0.0,0.0
15,2016,October,September,3.5,1.277777777777778,128.5633333333333,1.0,0.0,0.0,0.0,0.0,0.0
76,2016,October,September,1.375,1.0483870967741935,137.6377777777778,1.0,0.0,0.0,0.0,0.0,0.0
97,2016,October,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2016,October,October,1.4285714285714286,1.4166666666666667,9.9625,0.181575109382596,0.0,0.0,11.55,25.83,-55.284552845528445
141,2016,October,October,5.0,1.1388888888888888,35.71,0.0,0.0,0.0,40.67,0.0,100.0
198,2016,October,April,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2016,October,July,3.0,0.0,36.535,0.0,0.0,0.0,0.0,0.0,0.0
257,2016,October,September,4.0,0.0,79.91999999999999,0.0,0.0,0.0,0.0,0.0,0.0
264,2016,October,September,2.3333333333333335,1.1428571428571428,82.0675,1.0,0.0,0.0,0.0,0.0,0.0
346,2016,October,June,4.0,0.0,29.07,0.0,0.0,0.0,0.0,0.0,0.0
419,2016,October,June,0.0,0.0,221.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0
483,2016,October,June,1.6666666666666667,0.5625000000000001,165.51749999999998,0.0,0.0,0.0,93.1,0.0,100.0
496,2016,October,October,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,2016,October,October,0.0,0.0,272.14,0.0,0.0,0.0,0.0,272.14,-100.0
585,2016,October,August,3.3333333333333335,1.0769230769230769,321.2475,1.0,0.0,0.0,0.0,0.0,0.0
591,2016,October,December,0.0,0.0,177.47,0.0,0.0,0.0,0.0,0.0,0.0
617,2016,October,October,2.0,0.0,69.69333333333333,0.0,0.0,0.0,0.0,119.98,-100.0
628,2016,October,December,0.0,0.0,113.98,0.0,0.0,0.0,0.0,0.0,0.0
659,2016,October,June,5.0,0.0,181.625,-0.3170632956948132,0.0,0.0,0.0,0.0,0.0
705,2016,October,October,2.6666666666666665,1.4999999999999998,74.6475,0.0,0.0,0.0,111.97,75.07,49.154122818702554
743,2016,October,September,2.5,1.75,47.13,1.0,0.0,0.0,0.0,0.0,0.0
753,2016,October,March,1.0,0.0,64.93,1.0,0.0,0.0,0.0,0.0,0.0
755,2016,October,March,2.0,0.0,40.67,0.0,0.0,0.0,0.0,0.0,0.0
758,2016,October,September,2.25,1.2272727272727273,108.008,0.21536392168584664,0.0,0.0,104.01,0.0,100.0
859,2016,October,October,1.6666666666666667,1.25,97.53571428571429,0.0,0.0,0.0,121.92,45.1,170.33259423503324
877,2016,October,May,1.0,0.0,282.18,0.0,0.0,0.0,0.0,0.0,0.0
883,2016,October,May,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,2016,October,May,0.0,0.0,886.29,0.0,0.0,0.0,0.0,0.0,0.0
958,2016,October,May,2.0,0.0,209.875,0.0,0.0,0.0,0.0,0.0,0.0
961,2016,October,September,1.5714285714285714,1.1666666666666667,34.991249999999994,0.6666338485773358,0.0,0.0,13.61,0.0,100.0
1011,2016,October,October,0.0,0.0,400.71,0.0,0.0,0.0,0.0,400.71,-100.0
1081,2016,October,July,2.0,0.9166666666666666,73.568,1.0,0.0,0.0,0.0,0.0,0.0
1086,2016,October,July,6.0,0.0,74.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0
